country_name,year 2020,gross_reproduction_rate 2020,year 2021,gross_reproduction_rate  2021
Afghanistan,2020,2.3512,2021,2.3024
Algeria,2020,1.2596,2021,1.2402
American Samoa,2020,1.1403,2021,1.1055
Angola,2020,2.9368,2021,2.9042
Argentina,2020,1.0697,2021,1.0629
Bangladesh,2020,1.0343,2021,1.0294
Belize,2020,1.317,2021,1.2985
Benin,2020,2.1902,2021,2.1483
Bolivia,2020,1.2098,2021,1.1932
Botswana,2020,1.2069,2021,1.1931
Burkina Faso,2020,2.2217,2021,2.1616
Burma,2020,1.0049,2021,1.0149
Burundi,2020,2.8719,2021,2.8443
Cabo Verde,2020,1.064,2021,1.0561
Cambodia,2020,1.1687,2021,1.155
Cameroon,2020,2.197,2021,2.1675
Central African Republic,2020,2.0394,2021,2.0148
Chad,2020,2.7843,2021,2.7304
Comoros,2020,1.4532,2021,1.4108
Congo (Brazzaville),2020,2.1921,2021,2.1704
Congo (Kinshasa),2020,1.9655,2021,1.9103
Cook Islands,2020,1.0319,2021,1.025
Cote d'Ivoire,2020,1.8079,2021,1.7744
Djibouti,2020,1.0788,2021,1.0688
Dominican Republic,2020,1.098,2021,1.0912
Ecuador,2020,1.0195,2021,1.0078
Egypt,2020,1.5938,2021,1.5666
Equatorial Guinea,2020,2.0246,2021,1.9813
Eritrea,2020,1.8374,2021,1.8
Eswatini,2020,1.2414,2021,1.2226
Ethiopia,2020,2.3399,2021,2.3005
Faroe Islands,2020,1.1173,2021,1.1123
Fiji,2020,1.1268,2021,1.1141
France,2020,1.0038,2021,1.0148
Gabon,2020,1.6798,2021,1.6552
"Gambia, The",2020,1.5812,2021,1.542
Gaza Strip,2020,1.767,2021,1.7184
Ghana,2020,1.9212,2021,1.9034
Guam,2020,1.3731,2021,1.3594
Guatemala,2020,1.3268,2021,1.3024
Guinea,2020,2.4236,2021,2.4069
Guinea-Bissau,2020,2.3399,2021,2.3242
Haiti,2020,1.2531,2021,1.2312
Honduras,2020,1.2195,2021,1.201
India,2020,1.1137,2021,1.1064
Iraq,2020,1.8634,2021,1.8351
Israel,2020,1.2634,2021,1.2556
Jamaica,2020,1.0098,2021,1.0068
Jordan,2020,1.4757,2021,1.4553
Kazakhstan,2020,1.1152,2021,1.1018
Kenya,2020,1.2723,2021,1.231
Kiribati,2020,1.0975,2021,1.0859
Kuwait,2020,1.1042,2021,1.0973
Kyrgyzstan,2020,1.2288,2021,1.2182
Laos,2020,1.2402,2021,1.2216
Lesotho,2020,1.2316,2021,1.2167
Liberia,2020,2.4138,2021,2.3862
Madagascar,2020,1.8621,2021,1.8236
Malawi,2020,2.6374,2021,2.609
Malaysia,2020,1.1742,2021,1.1646
Mali,2020,2.8177,2021,2.7734
Marshall Islands,2020,1.3945,2021,1.3717
Mauritania,2020,1.798,2021,1.7675
Mexico,2020,1.068,2021,1.0601
"Micronesia, Federated States of",2020,1.1172,2021,1.1056
Morocco,2020,1.0098,2021,1.0068
Mozambique,2020,2.4269,2021,2.3956
Namibia,2020,1.5123,2021,1.4906
Nauru,2020,1.4595,2021,1.4432
Niger,2020,2.9951,2021,2.9281
Nigeria,2020,2.2913,2021,2.2592
Northern Mariana Islands,2020,1.2457,2021,1.2299
Oman,2020,1.3474,2021,1.3329
Pakistan,2020,1.1805,2021,1.162
Panama,2020,1.0905,2021,1.0798
Papua New Guinea,2020,1.3854,2021,1.361
Philippines,2020,1.4244,2021,1.4107
Rwanda,2020,1.734,2021,1.6867
Samoa,2020,1.2194,2021,1.1989
Sao Tome and Principe,2020,1.8817,2021,1.8186
Senegal,2020,1.9901,2021,1.9557
Sierra Leone,2020,2.2759,2021,2.2581
Solomon Islands,2020,1.4488,2021,1.4243
Somalia,2020,2.7143,2021,2.666
South Africa,2020,1.099,2021,1.0901
South Sudan,2020,2.7016,2021,2.6472
Sudan,2020,2.3047,2021,2.274
Syria,2020,1.1359,2021,1.1204
Tajikistan,2020,1.2244,2021,1.2098
Tanzania,2020,2.2611,2021,2.2325
Timor-Leste,2020,2.1491,2021,2.0929
Togo,2020,2.0788,2021,2.0552
Tonga,2020,1.4137,2021,1.3858
Tuvalu,2020,1.402,2021,1.3955
Uganda,2020,2.6798,2021,2.6335
Vanuatu,2020,1.3609,2021,1.3288
Venezuela,2020,1.1024,2021,1.0927
West Bank,2020,1.4903,2021,1.4641
Western Sahara,2020,1.7892,2021,1.7588
Yemen,2020,1.561,2021,1.5141
Zambia,2020,2.7044,2021,2.6798
Zimbabwe,2020,1.936,2021,1.9271